
	['空白', '*', '*', '*', '*', '*']
出典	['名詞', '普通名詞', '一般', '*', '*', '*']
:	['補助記号', '一般', '*', '*', '*', '*']
 	['空白', '*', '*', '*', '*', '*']
フリー	['名詞', '普通名詞', '形状詞可能', '*', '*', '*']
百科	['名詞', '普通名詞', '一般', '*', '*', '*']
事典	['名詞', '普通名詞', '一般', '*', '*', '*']
『	['補助記号', '括弧開', '*', '*', '*', '*']
ウィキペディア	['名詞', '固有名詞', '一般', '*', '*', '*']
（	['補助記号', '括弧開', '*', '*', '*', '*']
Wikipedia	['名詞', '固有名詞', '一般', '*', '*', '*']
）	['補助記号', '括弧閉', '*', '*', '*', '*']
』	['補助記号', '括弧閉', '*', '*', '*', '*']




	['空白', '*', '*', '*', '*', '*']
ナビゲーション	['名詞', '普通名詞', '一般', '*', '*', '*']
に	['助詞', '格助詞', '*', '*', '*', '*']
移動	['名詞', '普通名詞', 'サ変可能', '*', '*', '*']

	['空白', '*', '*', '*', '*', '*']
検索	['名詞', '普通名詞', 'サ変可能', '*', '*', '*']
に	['助詞', '格助詞', '*', '*', '*', '*']
移動	['名詞', '普通名詞', 'サ変可能', '*', '*', '*']

	['空白', '*', '*', '*', '*', '*']
この	['連体詞', '*', '*', '*', '*', '*']
記事	['名詞', '普通名詞', '一般', '*', '*', '*']
は	['助詞', '係助詞', '*', '*', '*', '*']
検証	['名詞', '普通名詞', 'サ変可能', '*', '*', '*']
可能	['形状詞', '一般', '*', '*', '*', '*']
な	['助動詞', '*', '*', '*', '助動詞-ダ', '連体形-一般']
参考	['名詞', '普通名詞', 'サ変可能', '*', '*', '*']
文献	['名詞', '普通名詞', '一般', '*', '*', '*']
や	['助詞', '副助詞', '*', '*', '*', '*']
出典	['名詞', '普通名詞', '一般', '*', '*', '*']
が	['助詞', '格助詞', '*', '*', '*', '*']
全く	['副詞', '*', '*', '*', '*', '*']
示さ	['動詞', '一般', '*', '*', '五段-サ行', '未然形-一般']
れ	['助動詞', '*', '*', '*', '助動詞-レル', '連用形-一般']
て	['助詞', '接続助詞', '*', '*', '*', '*']
い	['動詞', '非自立可能', '*', '*', '上一段-ア行', '未然形-一般']
ない	['助動詞', '*', '*', '*', '助動詞-ナイ', '終止形-一般']
