Titre	URL	Date de publication	Auteur	Étiquettes
Étiquetage morphosyntaxique avec SudachiPy	https://tekipaki.hypotheses.org/721	Wed, 26 Aug 2020 15:45:00 +0000	Alexander Delaporte	Corpus et ressources;Traitement automatique;Étiquetage morphosyntaxique;Japonais;POS tagging;Python;Sudachi;SudachiDict;SudachiPy
Les types de dictionnaires	https://tekipaki.hypotheses.org/223	Fri, 14 Aug 2020 15:13:00 +0000	Alexander Delaporte	Lexicographie;Vulgarisation;Dictionnaire;Dictionnaire bilingue;Dictionnaire de langue;Dictionnaire encyclopédique;Dictionnaire monolingue;Japonais;Lexicographie bilingue;Traduction
Fiabilité de chardet	https://tekipaki.hypotheses.org/536	Thu, 30 Jul 2020 17:02:00 +0000	Alexander Delaporte	Corpus et ressources;Traitement automatique;Encodage;Japonais;Python
Modèles chinois et japonais pour spaCy	https://tekipaki.hypotheses.org/576	Mon, 06 Jul 2020 15:03:00 +0000	Alexander Delaporte	Traitement automatique;Annotation;Chinois;Japonais;Jieba;POS tagging;Python;spaCy
Uniformiser l’encodage d’un corpus avec Python	https://tekipaki.hypotheses.org/478	Mon, 29 Jun 2020 15:00:00 +0000	Alexander Delaporte	Corpus et ressources;Traitement automatique;Corpus écrit;Corpus web;Encodage;Japonais;Python;UTF-8
Frise chronologique avec LaTeX	https://tekipaki.hypotheses.org/393	Fri, 12 Jun 2020 11:00:00 +0000	Alexander Delaporte	Corpus et ressources;Concours CNRS;Frise chronologique;LaTeX;Tikz;Timeline
Affichage des articles	https://tekipaki.hypotheses.org/388	Fri, 05 Jun 2020 08:46:46 +0000	Alexander Delaporte	Tekipaki
Webinaires AFLA 2020	https://tekipaki.hypotheses.org/358	Tue, 02 Jun 2020 13:30:45 +0000	Alexander Delaporte	Événements;Recherche;Linguistique appliquée;webinaire
Étiquetage morphosyntaxique avec Jieba	https://tekipaki.hypotheses.org/115	Wed, 20 May 2020 11:15:00 +0000	Alexander Delaporte	Corpus et ressources;Traitement automatique;Chinois;Étiquetage morphosyntaxique;Jieba;POS tagging;Python
Étiquetage morphosyntaxique avec PyNLPIR	https://tekipaki.hypotheses.org/117	Wed, 13 May 2020 10:30:00 +0000	Alexander Delaporte	Corpus et ressources;Traitement automatique;Chinois;Étiquetage morphosyntaxique;Jieba;POS tagging;PyNLPIR;Python
Lexique linguistique en japonais – 02	https://tekipaki.hypotheses.org/97	Tue, 05 May 2020 11:00:00 +0000	Alexander Delaporte	Apprentissage des langues;Corpus et ressources;Lexicographie;Anglais;Dictionnaire;Français;Japonais;Lexicographie bilingue;Lexique;Terminologie
Revue Koko	https://tekipaki.hypotheses.org/260	Fri, 01 May 2020 16:38:56 +0000	Alexander Delaporte	Événements;Japonais
Restructurer un tableau CSV	https://tekipaki.hypotheses.org/64	Tue, 28 Apr 2020 15:39:00 +0000	Alexander Delaporte	Corpus et ressources;Traitement automatique;Chinois;CSV;Hm Nai;Hmong-mien;Miao-yao;Pa-Hng;Python;Web;Wiktionary
Lexique linguistique en japonais – 01	https://tekipaki.hypotheses.org/69	Tue, 21 Apr 2020 15:00:00 +0000	Alexander Delaporte	Apprentissage des langues;Corpus et ressources;Lexicographie;Dictionnaire;Français;Japonais;Lexicographie bilingue;Lexique;Terminologie
Extraire les données d’un tableau HTML	https://tekipaki.hypotheses.org/14	Tue, 14 Apr 2020 09:31:53 +0000	Alexander Delaporte	Corpus et ressources;Traitement automatique;Chinois;CSV;Hm Nai;Hmong-mien;HTML;Miao-yao;Pa-Hng;Python;Web;Wiktionary
