File number	Encoding	Confidence
1	UTF-8-SIG	1.0
2	UTF-8-SIG	1.0
3	UTF-8-SIG	1.0
4	UTF-8-SIG	1.0
5	UTF-8-SIG	1.0
6	utf-8	0.99
7	utf-8	0.99
8	utf-8	0.99
9	utf-8	0.99
10	GB2312	0.99
11	utf-8	0.99
12	utf-8	0.99
13	utf-8	0.99
14	utf-8	0.99
15	GB2312	0.99
16	utf-8	0.99
17	utf-8	0.99
18	utf-8	0.99
19	utf-8	0.99
20	GB2312	0.99
21	utf-8	0.99
22	utf-8	0.99
23	utf-8	0.99
24	ascii	1.0
25	utf-8	0.99
26	GB2312	0.99
27	GB2312	0.8404366681621055
28	utf-8	0.99
29	utf-8	0.99
30	utf-8	0.99
31	GB2312	0.99
32	GB2312	0.99
33	utf-8	0.99
34	GB2312	0.99
35	utf-8	0.99
36	utf-8	0.99
37	utf-8	0.99
38	utf-8	0.99
39	utf-8	0.99
40	utf-8	0.99
41	utf-8	0.99
42	utf-8	0.99
43	utf-8	0.99
44	utf-8	0.99
45	utf-8	0.99
46	utf-8	0.99
47	utf-8	0.99
48	utf-8	0.99
49	utf-8	0.99
50	utf-8	0.99
51	utf-8	0.99
52	utf-8	0.99
53	utf-8	0.99
54	utf-8	0.99
55	utf-8	0.99
56	utf-8	0.99
57	utf-8	0.99
58	utf-8	0.99
59	utf-8	0.99
60	utf-8	0.99
61	utf-8	0.99
62	utf-8	0.99
63	utf-8	0.99
64	utf-8	0.99
65	utf-8	0.99
66	utf-8	0.99
67	utf-8	0.99
68	utf-8	0.99
69	utf-8	0.99
70	utf-8	0.99
71	utf-8	0.99
72	utf-8	0.99
73	utf-8	0.99
74	utf-8	0.99
75	utf-8	0.99
76	utf-8	0.99
77	utf-8	0.99
78	utf-8	0.99
79	utf-8	0.99
80	utf-8	0.99
81	utf-8	0.99
82	utf-8	0.99
83	utf-8	0.99
84	utf-8	0.99
85	utf-8	0.99
86	utf-8	0.99
87	utf-8	0.99
88	utf-8	0.99
89	utf-8	0.99
90	utf-8	0.99
91	utf-8	0.99
92	utf-8	0.99
93	utf-8	0.99
94	utf-8	0.99
95	utf-8	0.99
96	utf-8	0.99
97	utf-8	0.99
98	utf-8	0.99
99	utf-8	0.99
100	utf-8	0.99
101	utf-8	0.99
102	utf-8	0.99
103	utf-8	0.99
104	utf-8	0.99
105	utf-8	0.99
106	utf-8	0.99
107	utf-8	0.99
108	utf-8	0.99
109	utf-8	0.99
110	utf-8	0.99
111	utf-8	0.99
112	utf-8	0.99
113	utf-8	0.99
114	utf-8	0.99
115	utf-8	0.99
116	utf-8	0.99
117	utf-8	0.99
118	utf-8	0.99
119	utf-8	0.99
120	utf-8	0.99
121	utf-8	0.99
122	utf-8	0.99
123	utf-8	0.99
124	utf-8	0.99
125	utf-8	0.99
126	utf-8	0.99
127	utf-8	0.99
128	utf-8	0.99
129	utf-8	0.99
130	utf-8	0.99
131	utf-8	0.99
132	utf-8	0.99
133	utf-8	0.99
134	utf-8	0.99
135	utf-8	0.99
136	utf-8	0.99
137	utf-8	0.99
138	utf-8	0.99
139	utf-8	0.99
140	utf-8	0.99
141	utf-8	0.99
142	utf-8	0.99
143	utf-8	0.99
144	utf-8	0.99
145	utf-8	0.99
146	utf-8	0.99
147	utf-8	0.99
148	utf-8	0.99
149	utf-8	0.99
150	utf-8	0.99
151	utf-8	0.99
152	utf-8	0.99
153	utf-8	0.99
154	utf-8	0.99
155	utf-8	0.99
156	utf-8	0.99
157	utf-8	0.99
158	utf-8	0.99
159	utf-8	0.99
160	utf-8	0.99
161	utf-8	0.99
162	utf-8	0.99
163	utf-8	0.99
164	utf-8	0.99
165	utf-8	0.99
166	utf-8	0.99
167	utf-8	0.99
168	utf-8	0.99
169	utf-8	0.99
170	utf-8	0.99
171	utf-8	0.99
172	utf-8	0.99
173	utf-8	0.99
174	utf-8	0.99
175	utf-8	0.99
176	utf-8	0.99
177	utf-8	0.99
178	utf-8	0.99
179	utf-8	0.99
180	utf-8	0.99
181	utf-8	0.99
182	utf-8	0.99
183	utf-8	0.99
184	utf-8	0.99
185	utf-8	0.99
186	utf-8	0.99
187	utf-8	0.99
188	utf-8	0.99
189	utf-8	0.99
190	utf-8	0.99
191	utf-8	0.99
192	utf-8	0.99
193	utf-8	0.99
194	utf-8	0.99
195	utf-8	0.99
196	utf-8	0.99
197	utf-8	0.99
198	utf-8	0.99
199	utf-8	0.99
200	utf-8	0.99
201	utf-8	0.99
202	utf-8	0.99
203	utf-8	0.99
204	utf-8	0.99
205	utf-8	0.99
206	utf-8	0.99
207	utf-8	0.99
208	utf-8	0.99
209	utf-8	0.99
210	utf-8	0.99
211	utf-8	0.99
212	utf-8	0.99
213	utf-8	0.99
214	utf-8	0.99
215	utf-8	0.99
216	utf-8	0.99
217	utf-8	0.99
218	utf-8	0.99
219	utf-8	0.99
220	utf-8	0.99
221	utf-8	0.99
222	utf-8	0.99
223	utf-8	0.99
224	utf-8	0.99
225	utf-8	0.99
226	utf-8	0.99
227	utf-8	0.99
228	utf-8	0.99
229	utf-8	0.99
230	utf-8	0.99
231	utf-8	0.99
232	utf-8	0.99
233	utf-8	0.99
234	utf-8	0.99
235	utf-8	0.99
236	utf-8	0.99
237	utf-8	0.99
238	utf-8	0.99
239	utf-8	0.99
240	utf-8	0.99
241	utf-8	0.99
242	utf-8	0.99
243	utf-8	0.99
244	utf-8	0.99
245	utf-8	0.99
246	utf-8	0.99
247	utf-8	0.99
248	utf-8	0.99
249	utf-8	0.99
250	utf-8	0.99
251	utf-8	0.99
252	utf-8	0.99
253	utf-8	0.99
254	utf-8	0.99
255	utf-8	0.99
256	utf-8	0.99
257	utf-8	0.99
258	utf-8	0.99
259	utf-8	0.99
260	utf-8	0.99
261	utf-8	0.99
262	utf-8	0.99
263	utf-8	0.99
264	utf-8	0.99
265	utf-8	0.99
266	utf-8	0.99
267	utf-8	0.99
268	utf-8	0.99
269	utf-8	0.99
270	utf-8	0.99
271	utf-8	0.99
272	utf-8	0.99
273	utf-8	0.99
274	utf-8	0.99
275	utf-8	0.99
276	Windows-1254	0.3274476174953095
277	utf-8	0.99
278	utf-8	0.99
279	utf-8	0.99
280	utf-8	0.99
281	utf-8	0.99
282	utf-8	0.99
283	utf-8	0.99
284	utf-8	0.99
285	utf-8	0.99
286	utf-8	0.99
287	utf-8	0.99
288	utf-8	0.99
289	utf-8	0.99
290	utf-8	0.99
291	utf-8	0.99
292	utf-8	0.99
